NEEDS-REVIEW|untracked+uncommitted=1|feat/setup-skill-bench-harness-run-3-task-eval-with-claude-sonnet|c1eab19|age_days=14|ahead=1|/Users/jleechan/.worktrees/jleechan_skillbench/jsb-2/
NEEDS-REVIEW|unpushed-ahead-6|feat/example-credential-discipline|0b7c42eadb|age_days=27|ahead=6|/Users/jleechan/.worktrees/jleechanclaw-feat-example-discipline/
NEEDS-REVIEW|uncommitted=7|fix/slack-5b-detector-anchor-stored-ts-truth|9ed243f736|age_days=24|ahead=1741|/Users/jleechan/.worktrees/jleechanclaw/5b-detector-truth/
NEEDS-REVIEW|unpushed-ahead-1788|feat/agy-secondary-backend|0ad261e0af|age_days=20|ahead=1788|/Users/jleechan/.worktrees/jleechanclaw/agy-secondary/
NEEDS-REVIEW|uncommitted=7|fix/slack-thread-roadmap-anchor-idempotent|1887c1176d|age_days=24|ahead=1741|/Users/jleechan/.worktrees/jleechanclaw/anchor-pin/
NEEDS-REVIEW|unpushed-ahead-2|feat/orch-w5w|cba14ed|age_days=97|ahead=2|/Users/jleechan/.worktrees/jleechanclaw/browserclaw/
NEEDS-REVIEW|uncommitted=8|fix/slack-thread-chunking-v2|dccced4338|age_days=24|ahead=1743|/Users/jleechan/.worktrees/jleechanclaw/chunking-v2/
NEEDS-REVIEW|uncommitted=1881|HEAD||age_days=0|ahead=0|/Users/jleechan/.worktrees/jleechanclaw/diag-env-capture/
NEEDS-REVIEW|unpushed-ahead-1749|chore/slack-thread-roadmap-diag-parent-attribution|eeec037945|age_days=24|ahead=1749|/Users/jleechan/.worktrees/jleechanclaw/diag-parent-attribution/
NEEDS-REVIEW|untracked+uncommitted=1|feat/auto-resolve-easy-prs-cron|18f239e9c5|age_days=24|ahead=0|/Users/jleechan/.worktrees/jleechanclaw/feat-auto-resolve-easy-prs/
SAFE|zero-ahead|feat/hermes-tag-routing-commit|edad3b9c1e|age_days=14|ahead=0|/Users/jleechan/.worktrees/jleechanclaw/feat-hermes-tag-routing-commit/
NEEDS-REVIEW|uncommitted=7|fix/ao-worldarchitect-default-agent|95996c1f6b|age_days=27|ahead=1697|/Users/jleechan/.worktrees/jleechanclaw/fix-ao-worldarchitect-agent/
PRESERVE|young|fix/dropped-thread-watcher-stale|d5163b1188|age_days=13|ahead=4|/Users/jleechan/.worktrees/jleechanclaw/fix-dropped-thread-watcher-stale/
NEEDS-REVIEW|uncommitted=1849|HEAD||age_days=0|ahead=0|/Users/jleechan/.worktrees/jleechanclaw/fix-launchd-wrapper-token-consistency/
